de,dsb
Tom stieg auf sein Pferd und ritt davon.,Tom jo zalězł na swójogo kónja a jo wótrejtował.
Bosheit ist eine Art Delirium und verwirrt den menschlichen Verstand.,Złosnosć jo družyna deliriuma a zmólijo cłowjeski rozym.
"Ich habe dir doch gesagt, dass du die Tür zumachen sollst.","Som śi tola gronił, až maš źurja zacyniś."
Mit einer großen Pleitewelle ist niemandem geholfen.,Z wjelikeju žwału plajtow njejo nikomu pomogane.
"Der Schneelift fährt jetzt automatisch, der Vater ist also arbeitslos.","Sněgakowaŕski lift jězdźi něnto awtomatiski, nan jo toś bźezdźěłabny."
"Dort sind meine Freuden, dort zieht es mich hin, dort möchte ich hin.","Tam su móje wjasele, tam mě śěgnjo, tam cu ja."
Es wurde zuerst Goldbarsch und dann ein Goldhähnchen zum Essen.,Bu nejžpjerwjej złoty pjeršk a pón lacawka k jěźi.
Wenn zwei Amerikaner und ein Berliner auf einer Schnecke liegen!,Gaž laže dwa Amerikanarja a jaden Barlinjaŕ na jadnom sliniku!
Krabat und Marko haben drei Kameraden aus der Mühle befreit.,Krabat a Marko stej wulichowałej tśich towarišow z młyna.
"Du musst einfach nur tun, was man dir sagt.","Musyš jadnorje jano cyniś, což se śi groni."
Der Positionswechsel bewirkte mehr als ich gedacht hätte.,Změna pozicije jo wustatkowała wěcej ako by se mysliła.
Die Pyramiden von Ägypten sind eines der sieben Weltwunder.,Pyramidy Egyptojskeje su jadna ze sedym swětowych źiwow.
"Glauben Sie immer noch, dass das nicht passieren wird?","Wěriśo pśecej hyšći, až se to njestanjo?"
Ringe nicht mit einem starken Mann und bringe einen Reichen nicht vor Gericht.,Njemócuj se z mócnym mužom a njedaj bogatego pśed sudnistwo.
"Farm, so würden sie in Amerika auf meinen Betrieb sagen.","Farma, tak by wóni w Americe na mój zawod gronili."
Das ist nicht mein Schirm; der gehört jemand anderem.,To njejo mój pśedešćnik; ten słuša někomu drugemu.
"Wie es sich der Zuschauer denken könnte, die Idylle ist löchrig.","Ako se to pśiglědowaŕ mysliś mógał, idyla jo źěrata."
Dieser Mann ist erst vor ein paar Stunden gestorben.,Toś ten muski jo akle pśed pór góźinami zemrěł.
"Wenn alles gut läuft, lässt sich herrlich entscheiden.","Gaž wšykno derje běžy, móžo se kšasnje rozsuźiś."
"Tom erzählte uns erfundene Anekdoten, um sich interessant zu machen.","Tom jo nam wunamakane tšojeńka wulicował, aby se zajmnjejšy cynił."
"Ungestüm will durchdringen, und sollte es der Nonne ein Kind bringen.","Njerozymnosć co se pśedobyś, a jo dejała mnichowce góle pśinjasć."
Die Kinder hoben für ihr Murmelspiel ein kleines Erdloch aus.,Źiśi su wuzwignuli za swójo graśe z kulkami mału depu ze zemje.
"Ich kenne viele unanständige Witze, aber ich gebe sie nie zum Besten.","Znajom wjele njepśistojnych žortow, ale njewulicujom je žednje."
"Gleichzeitig bietet der Strukturwandel die große Chance, die Zukunft der Lausitz aktiv zu gestalten.","Rownocasnje pódajo strukturna změna wjeliku šansu, pśichod Łužyce aktiwnje wugótowaś."
Insofern musste niemand auch nur einen Gedanken daran verschwenden.,Z tym njedejał nichten teke jano jadnu mysl na to brojś.
"Niemand wird alt, weil er eine bestimmte Anzahl von Jahren gelebt hat.","Nichten njestarjejo, dokulaž jo wěstu licbu lět žywy był."
Marko und sich selbst verwandelt er in zungenlose schwarze Diener.,Marka a sebje samego wón jo pśeměnił do carnych słužabnikow mimo jězyka.
"Ich bitte euch alle eindringlich, eure Körbe auszuleeren.","Pšosym was wšych doraznje, waše kórby wuprozniś."
Der Berg liegt etwa 3000 Meter über dem Meeresspiegel.,Góra lažy něźi 3000 metrow nad móŕskeju głaźinu.
Können wir mit einem halbvollen Tank nach Miami fahren?,Móžomy z połpołnym tankom do  Miami jěś?
"Man kann niemanden beurteilen, wenn man ihn nicht gut kennt.","Njamóžoš nikogo pósuźowaś, gaž jogo derje njeznajoš."
Bei diesem Thema kann ich mich an nichts erinnern.,Pśi toś tej temje njamógu se na nic dopominaś.
Mit immer größerem Aufwand wird immer weniger Fisch gefischt.,Z pśecej wětšeju procu se pśecej mjenjej rybow łoj.
Tom kennt nicht den Unterschied zwischen Serenität und Serengeti.,Tom njeznajo rozdźěl mjazy serenitu a Serengeti.
Heutzutage ist die Zivilisation durch einen atomaren Krieg bedroht.,Źinsajšny źeń jo ciwilizacija wobgrozona pśez atomarnu wójnu.
Das große Waldgebiet ist seit 1988 UNESCO-Weltnaturerbe.,Wjelike lěsne strony su wót 1988 swětowe derbstwo pśirody UNESCO.
Ich habe mich schon auf ein ruhiges Wochenende gefreut.,Som se južo wjaselił na měrny kóńc tyźenja.
Tom und Maria saßen Johannes und Elke gegenüber.,Tom a Marija stej sejźełej napśeśiwo Janoju a Elce.
"Einen Menschen kann man umbringen, nicht aber eine Idee auslöschen.","Luźa móžoš wusmjerśiś, nic pak ideju zagasyś."
"Ich habe gelernt, mit meinen Rückenschmerzen zu leben.",Som nawuknuła ze swójimi bólami we kśebjaśe žywa byś.
Vorgestern habe ich mir drei Paar Schuhe gekauft.,Pśedcorajšym som se tśi pory crjejow kupił.
"Er riskierte es für sie, festgenommen und inhaftiert zu werden.","Wón jo za nich riskěrował, byś pópadnjony a popajźony."
"Schön, dass du mal zu Besuch gekommen bist, komm gesund wieder!","Rědnje, až sy raz na woglěd pśišła, pśiź strowy zasej!"
Rumbo ging über Kockels Hof in ihren Obstgarten.,Rumbo jo šeł do jich sadowego gumna pśez Koklojc dwór.
"Eins der Denkmäler war jenes Kruzifix, welches nun geschändet wurde.","Jaden z pomnikow jo była wóna swěta kśica, kótaruž su něnto wónjecesćili ."
"Was ist das, fragt der Kaplan den neunjährigen Jungen.","Co to jo, pšaša se kapłan źewjeślětnego gólca."
"Na ja, du hast recht, aber das ist nicht die Wahrheit.","No jo, maš pšawje, ale to njejo wěrnosć."
Außerdem kostet das Futter für so einen Hund viel Geld.,Mimo togo płaśi futer za takego psa wjele pjenjez.
Die Karawanserei lag an der Fernstraße von Galiläa nach Damaskus.,Karawanserija jo lažała pśi dalokowobchadowej droze wót Galileje do Damaskusa.
"Maria sagte Tom, dass sie glaube, dass Jan tot sei.","Marija jo groniła Tomoju, až se jej zda, až jo Jan njabogi."
Vielen Dank für dieses wunderbare Zeichen für unser kleines Volk!,Wjeliki źěk za toś to wjelicne znamje za naš mały lud!
Tom wollte seine Französischkenntnisse an den Mann bringen.,Tom jo kśěł swóje znaśa francojšćiny na muskego pśinjasć.
"Sie wird nicht beglückt sein, wenn sie das herausfindet.","Wóna njebuźo glucna, gaž to wuslěźijo."
"Bitte sagen Sie mir, wo die Bushaltestelle ist.","Pšosym grońśo mě, źo busowe zastanišćo jo."
Hier fliegen Vögel mit ausgestreckten Flügeln ohne aktive Bewegung der Flügel.,How lětaju ptaški z rozpśestrětyma kśidłoma bźez aktiwnego gibanja kśidłow.
Ideale Bedingungen bietet ein sonniger Steingarten.,Idealne wuměnjenja bituju słyńcna kamjenjana zagroda.
Die Luft in der Atmosphäre nahe der Erde kann sehr verschieden sein.,Pówětš w atmosferje blisko zemje móžo ceło wšaki byś.
Viele Musiker verschiedener Generationen sehen in Bowie ihr Vorbild.,Wjele muzikarjow wšakich generacijow ma Bowieja za swój pśikład.
"Herr Präsident, ich habe zwei Änderungsanträge zu diesem Bericht vorgeschlagen.","Kněz prezident, som k toś tej rozpšawje naraźił dwě pšosbje wó změnu."
Bisher habe ich noch nie ein Beil verwendet.,Až doněnta njejsom hyšći žednje wužywała sekeru.
Geschultes Fachpersonal führt die Corona-Schutzimpfung durch.,Wukubłany fachowy personal pśewjeźo šćěpjenje pśeśiwo koronje.
"Keiner hält dich, wenn du Bauer oder Heerführer sein willst.","Nichten tebje njeźaržy, gaž coš byś bur abo wójwoda."
Zusammen mit einheimischen Helfern gruben sie mehrere museale Schätze aus.,Gromaźe z domorodnymi pomocnikami su wuryli wjele muzealnych pókładow.
Du siehst genauso aus wie dein älterer Bruder.,Wuglědaš rowno tak ako twój staršy bratš.
"Ich habe ihn nicht besucht, weil ich mich erkältet hatte.","Njejsom jomu woglědał, dokulaž som se zazymnjeł."
Ich will dich nie wieder in meinem Leben sehen!,Njok śi nikula wěcej we swójom žywjenju wiźeś!
"Nachdem er nun gegangen ist, vermissen wir ihn sehr.","Za tym až jo něnto šeł, wón nam wjelgin brachujo."
Ich werde ihm gerne etwas für die Unterkunft bezahlen.,Rad jomu něco za pśebytk zapłaśijom.
"„Einverstanden“, sagt Marko dem Hofminister und befehlt seinen Ferkeln.","„Wobjadny“, jo Marko gronił dwórskemu ministarjeju a kažo swójim prosetam."
"Wenn die Heuschrecke schlüpft, sieht sie bereits fast fertig aus.","Gaž wulězo skóck, wuglěda južo pśisamem gótowy."
Auf den ersten Blick ist jedes Mädchen zum Verlieben schön.,Na prědny póglěd jo kužde źowćo k zalubowanju rědne.
Weniger geschützt sind etwa Naturparks und Landschaftsschutzgebiete.,Mjenjej šćitane su skerjej pśirodne parki a šćitne krajiny.
"Ich wünschte, ich hätte statt dir deine Schwester geheiratet!","By se žycył, aby ja se město tebje z twójeju sotšu wóženił!"
Wir können ihr eine hohe Arbeitsqualität und -quantität bescheinigen.,Móžomy jej wobkšuśiś wusoku źěłowu kwalitu a kwantitu.
Diese Bereiche haben die Nationalstaaten an die EU abgetreten.,Toś te wobłuki su narodne staty EU pśewóstajili.
"Würde es Ihnen etwas ausmachen, sich mit uns fotografieren zu lassen?","By wam něco wucyniło, se daś z nami fotografěrowaś?"
"Und gerne singen wir alle gemeinsam, wie Lerchen.","A rad spiwamy my wšykne gromaźe, ako škobrjonki."
Die Tetanusspritze tat mir mehr weh als der Hundebiss.,Tetanusowa špryca jo mě wěcej bóleła ako kusnjenje psa.
"Der Mann fordert ihn auf, dass er doch erst dem Hasen das Fell über die Ohren ziehen solle.","Muski napomina jogo, aby nejpjerwjej wuchacoju kóžu śěgnuł pśez wušy."
In der Fabrik war er ein alter Hase unter den Kollegen.,W fabrice jo wón był stary wuchac mjazy kolegami.
Die Zahl von Menschen mit Diabetes steigt weltweit.,Licba luźi z diabetesom stupa pó cełem swěśe.
"Wenn durch das Dorf die Zwerge gehen, esse ich inzwischen getrocknete Früchte.","Gaž pó jsy chójźe małkuše, jěm ja mjaztym sušeńki."
Bei einer Polizeikontrolle wurde John brutal vom Fahrrad gerissen.,Pśi policajskej kontroli su Johna brutalnje z kólasa tergnuli.
"Angst kann helfen, kann jedoch auch zur Verzweiflung führen.","Tšach móžo pomagaś, móžo pak teke wjasć k zacwiblowanju."
Sara geht in den Kindergarten und hat Tiere sehr gern.,Sara chójźi do źiśownje a ma zwěrjeta wjelgin rady.
Zuerst musst du die persönlichen Daten fertig eingeben.,Nejpjerwjej dejš dokóńcnje zapódaś wósobinske daty.
Viel müssen wir noch über andere Länder lernen.,Wjele musymy hyšći wó drugich krajach wuknuś.
"Ich bin mir sicher, ich muss zuerst darüber nachdenken, dann kann ich suchen.","Som sebje wěsty, nejpjerwjej dejm pśemyslowaś, pótom mógu pytaś."
Eine der Besonderheiten des diesjährigen Frühlings sind wohl die Folgen des Orkans.,Jadna z wósebnosćow lětosnego nalěśa drje su slědy orkana.
Dann baut es sich auch ein Bad und ein Schlafzimmer.,Pón natwarijo sebje teke kupadło a spańsku śpu.
Er wird dir in dieser Angelegenheit gute Ratschläge geben.,Wón buźo śi w toś tej wěcy dawaś dobre rady.
Ich habe noch nie jemanden wie dich gesehen.,Njejsom hyšći žednje někogo ako tebje wiźeł.
Tom musste heute in der Schule wieder die Eselsohren tragen.,Tom jo dejał źinsa w šuli zasej nosyś wušy wóslika.
"Die beste Kost ist die, die nicht viel kostet.","Nejlěpša jěza jo ta, kenž wjele njepłaśi."
Im Verlauf des Jahres soll das Potenzial der jeweiligen Regionen analysiert werden.,W běgu lěta ma se analyzěrowaś potencial wótpowědujucych regionow.
"Ich glaube, man kann sein Benehmen nicht entschuldigen.","Mě se zda, až njamóžoš wódawaś jogo zaźaržanje."
Allerdings nicht untereinander – sie verdrängen gemeinsam die Realität.,Nic pak mjazy sobu – wóni pódtłocuju zgromadnje wopšawdnosć.
Das Passwort muss mindestens fünf Zeichen enthalten.,Šćitne gronidło dej měś nanejmjenjej pěś znamuškow.
"Du kannst dir nicht vorstellen, wie glücklich ich bin.","Ty njamóžoš sebje pśedstajiś, kak glucny som."
Den habe ich schon seit Wochen nicht mehr gesehen.,Togo njejsom južo tyźenje wěcej wiźeł.
Sie musste sich ans Ende der Schlange anstellen.,Wóna jo dejała se nastupiś na kóńcu rěda luźi.
"Ich verspreche, dass ich niemals mehr irgendetwas versprechen werde.","Zlubijom, až žednje wěcej nic njezlubijom."
"Sein Hund folgt ihm nach, wohin auch immer er geht.","Jogo pjas slědujo jomu, źožkuli wón teke źo."
Unser Vater muss dem Kinde nun den Namen geben.,Naš nan dej góleśeju něnto mě daś.
"Laufe doch nicht, vor Liebe blind, geradewegs in dein Verderben!","Nježeń jan z lubosći slěpy, rownu smugu do skazenja!"
"Im Gegenteil, Jakob lachte sogar, es geht gleich weiter.","Nawopak, Jakub jo se samo smjał, pójźo ned dalej."
"Weil der König lacht, lacht die ganze Gesellschaft rund um den Tisch.","Dokulaž kral se smjejo, smějo se cełe towaristwo kołowokoło blida."
Das sagte die Vorsitzende der Vereinigung der Beteiligten Katrin Thiem.,To jo groniła pśedsedaŕka zjadnośeństwa wobźělonych Katrin Thiem.
Sie sind ideale Eintrittspforten für hunderte Käferarten.,Wóni su idealny zachod za sta družynow brukow.
Der Kaufmann hat in der ganzen Welt dieselbe Religion.,Pśekupc ma pó cełem swěśe samsku nabóžninu.
Das Flugzeug umkreiste den Flughafen zweimal nach dem Start.,Lětadło jo wobkružowało lětanišćo dwójcy pó starśe.
Machen Sie es bis heute Abend gegen sechs Uhr fertig!,Cyńśo to až do źinsa wjacor wokoło šesćich gótowe!
Auch kleine Tierchen wie Vögel oder Insekten toben dort herum.,Teke małe zwěrjetka ako ptaški abo insekty se tam wokoło gónje.
Der unbekannte Junge hat dich ins kalte Wasser gestoßen.,Njeznaty gólc jo śi starcył do zymneje wódy.
Unter ihnen war auch eine Delegation unseres Regionalverbands.,Mjazy nimi jo teke delegacija našeje župy.
Kiki und Mirka überlegten einen Augenblick und nickten dann.,Kiki a Měrka stej wokognuśe pśemyslowałej a pótom stej nygałej.
"Ich bin stolz darauf, sie zu meinen Freunden zu zählen.","Som gjardy na to, ju licyś k swójim pśijaśelam."
Der Taj Mahal ist eines der sieben Weltwunder.,Taj Mahal jo jaden ze sedym swětowych źiwow.
Ich bin gestern später als sonst zu Bett gegangen.,Ja som cora pózdźej ako howac šła do póstole.
Für das Backpacker-Portemonnaie war das am häufigsten Mi Goreng.,Za móšynu nakśebjatnik nosecego jo to było nejcesćej Mi Goreng.
"Aber es muss jemand sein, den auch die anderen kennen.","Ale musy byś to něchten, kótaregož teke te druge znaju."
Kann man einen offenen Brief eigentlich an sich selbst schreiben?,Móžoš zjawny list pópšawem na sebje pisaś?
Katka zeigte auf die Schüssel mit den zerschlagenen bunten Eiern.,Katka jo pokazała na šklu z rozbitymi pisanymi jajkami.
Eine Sprache ist ein Dialekt mit einer Armee und einer Marine.,Rěc jo dialekt z wójskom a namóŕnistwom.
Nach etwa vierzehn Tagen ist die Veränderung beendet.,Pó něźi styrnasćo dnjach jo pśeměnjenje dokóńcone.
Hier wurde das aufgerissene Erbe des Braunkohlebergbaus beispielhaft renaturiert.,How bu rozryte derbstwo brunicowego górnistwa pśikładnje renaturěrowane.
"Wir griffen zu Notmaßnahmen, um den Patienten mit Herzstillstand wiederzubeleben.","Smy pśimali za nuzowymi napšawami, aby pacientow ze zastaśim wutšoby wóžywili."
An seinem äußeren Erscheinungsbild ist sein Dauerappetit nicht spurlos vorübergegangen.,Pó jogo wenkownej póstawje njejo jogo stawny apetit wóstał bźez slědow.
Larry Ewing ist verheiratet und Vater zweier Kinder.,Larry Ewing jo wóženjony a nan dweju źiśi.
"Auch die Lesebücher zu überarbeiten steht auf dem Plan, die ersten Aufgaben sind verteilt.","Teke cytanki pśeźěłaś na planje stoj, prědne nadawki su wuźělone."
"Dann sag mir bitte sofort, was ich jetzt tun soll!","Ga pón mě pšosym ned groń, co dejm něnt cyniś!"
"Vergiss nicht, dass es heutzutage schwer ist, einen guten Job zu finden.","Njezabydni, až jo źinsajšny źeń śěžko, dobre źěło namakaś."
"Gemeinschaft ist für den Menschen wie eine kosmische, universale Ordnung.","Zgromadnosć jo za cłowjeka ako kosmiski, uniwersalny pórěd."
In einer Stunde machen wir uns heimlich auf Katzenpfoten aus dem Staub.,Za góźinu změjomy se kšajźu na kóccynych capach z procha.
"Grischa trat ein, und die Kugel begann allmählich zu steigen.","Griša jo zastupił, a kula jo chopiła póněcom stupaś."
"Der schönste Tag im Leben ist der, an dem man es verlässt.","Nejrědnjejšy źeń žywjenja jo ten, na kótaremž je spušćijoš."
"Das gilt für alle Zeit, gerade jetzt im Jahr 2020.","To płaśi za kuždy cas, rowno něnto w lěśe 2020."
"Ich melde mich spätestens Donnerstag, damit wir uns auf einen neuen Termin einigen.","Pśizjawijom se nejpózdźej stwórtk, aby se na nowy termin dojadnali."
"Je mehr du reist, desto mehr lernst du.","Šym wěcej ty drogujoš, śim wěcej nawuknjoš."
Ich möchte ein Buch über Spinnen aus unserer Region schreiben.,Cu knigły wó pawkach  našogo regiona pisaś.
Er hatte fast tausend Jahre nach Cheops regiert.,Wón běšo se pśisamem tysac lět pó Cheopsu kněžył.
