de,hsb
"Ich bin dabei, Herzblut in die Arbeit zu geben.",Dawam runje swoju krej z wutroby do dźěła.
Den Grundstein hat Herr Gutsbesitzer Žur-Baćonski gespendet.,Zakładny kamjeń je knjez kubler Žur-Baćoński darił.
Am besten ist das Testament beim Nachlassgericht (dem örtlichen Amtsgericht) aufgehoben.,Najlěpje je testament na zawostajenstwowym sudnistwje (lokalnym hamtskim sudnistwje) schowany.
Hochrechnen der Rechenvariablen: Die Rechenvariable wird nach oben gerechnet.,Powobličenje ličenskich wariablow: Ličenska wariabla so horje liči.
Bild 2: Am nächsten Tag spielen die Kinder wieder im Hof.,Wobraz 2: Nazajtra hraja dźěći zaso na dworje.
Bevölkerungsbewegungen in Hoyerswerda 1990 – 2004.,Hibanja ludnosće we Wojerecach 1990 – 2004.
Eine Pause zwischen den Wehen kann ebenfalls bis zu 30 Minuten dauern.,Přestawka mjez hronami móže tohorunja hač do 30 mjeńšin trać.
Auch dort decken die Kinder die Tische und nehmen sich selbst das Essen.,Tež tam přikryja dźěći blida a wozmu sej same jěsć.
Wir müssen das Stadtfest dieses Jahr sorgfältig planen.,Dyrbimy měšćanski swjedźeń lětsa swědomiće planować.
Sie beschweren sich beim Schulamt.,Wonej skoržitej na šulskim zarjedźe.
Aber ihr Arbeitsbiotop ist für ihn als Fotomotiv nicht reizvoll genug.,Ale jeje dźěłowy biotop jemu jako fotomotiw dosć powabny njeje.
Dazu zählen beispielsweise Haartrockner in Frisiersalons sowie Geräte in Fitnessclubs.,K tomu słušeja na přikład sušaki za włosy w frizerskich salonach kaž tež nastroje w fitnesowych klubach.
"Das Mädchen, welches Klavier spielt, ist meine Tochter.","Holca, kotraž na klawěrje hraje, je moja dźowka."
"Heute wissen wir, dass etwa die Hälfte der infizierten Menschen an Fieber erkrankt.","Dźensa wěmy, zo něhdźe połojca inficěrowanych čłowjekow na zymicu schori."
"Heute stark bewölkt bis bedeckt, zeitweise Regen.","Dźensa sylnje pomróčene hač pokryte, sčasami dešć."
Die Thermoskanne Alfi Skyline lag im Test insgesamt knapp vorne.,Termosowa kana Alfi Skyline ležeše w tesće cyłkownje snadnje prědku.
Heute ist es leichter auf ein Gymnasium zu kommen.,Dźensa je lóšo na gymnazij přińć.
"Mary lässt ihr Kind abtreiben, da die Schwangerschaft nicht erwünscht war.","Mary da swoje dźěćo wotehnać, dokelž njebě samodruhosć chcyta."
Etwa auf die mangelnde Effizienz staatlicher Behörden.,Na přikład na pobrachowacu eficiencu statnych zarjadow.
Stumm haut man meiner Mutter die Einkäufe vor die Füße.,Němje klesnu mojej maćeri nakupy před noze.
In der Gunst der Leser standen die 56 kurzen Episoden von Sherlock Holmes ganz oben.,Najbóle připóznate pola čitarjow běše 56 krótkich epizodow Sherlocka Holmes.
"Jetzt müssen wir hier stehen, mitten in der Lausitzer Provinz.","Nětko dyrbimy tule stać, wosrjedź łužiskeje prowincy."
Ich habe nichts zu essen – du bist doch gut gemästet.,Nimam ničo k jědźi – sy tola derje wukormjene.
Wir haben uns bewusst für das höchste Gremium zwischen den beiden Hauptversammlungen entschieden.,Smy so wědomje za najwyši gremij mjez hłownymaj zhromadźiznomaj rozsudźili.
Sie müssen sich durchsetzen können und ggf. Konflikte lösen.,Dyrbja so přesadźić móc a w datym padźe konflikty rozrisać.
Das Korn benötige ich noch für meinen Zaubertrick.,Zorno trjebam hišće za swój kuzłarski trik.
Gebt Hinweise zum Hören von Minimal Music für unerfahrene Zuhörer.,Podajće pokiwy wo słuchanju Minimal Music za njenazhonitych připosłucharjow.
In der niederlausitzischen Stadt Doberlug-Kirchhain im Elbe-Elster-Kreis waren wir wandern.,W delnjołužiskim měsće Dobrjoługu-Góstkowje we wokrjesu Łobjo-Halštrow běchmy pućować.
Claudia hat später an der Kunsthochschule Berlin Weißensee Modedesign studiert.,Clawdija je pozdźišo na Wysokej šuli za wuměłstwo Berlin Weißensee modowy design studowała.
Das sind etwa 160 mehr als noch im November.,To je někak 160 wjace hač hišće w nowembrje.
Die häufigste Folge davon sind Depressionen.,Najčasćiši sćěh toho su depresije.
Dies teilte der Sächsische Bundestagsabgeordnete Stephan Kühn mit.,To zdźěli Sakski zapósłanc Zwjazkoweho sejma Stephan Kühn sobu.
Mein Leben geht langsam zu Ende.,Moje žiwjenje so pomału nachila.
Das neue System kann binnen sechs Monaten zum Laufen gebracht werden.,Nowy system móže so w běhu šěsć měsacow zaběžeć dać.
Interessenten können sich bis 14.02.2025 unter folgendem Link melden: https://forms.office.com/e/XvUCCtJfKv.,Zajimcy móža so hač do 14.02.2025 pod slědowacym linkom přizjewić: https://forms.office.com/e/XvUCCtJfKv.
Lediglich einige Geistliche waren dem Serbski Sokoł gegenüber tolerant eingestellt.,Jeničce někotři duchowni běchu Serbskemu Sokołej napřećo tolerantnje nastajeni.
"Woher bekomme ich eine Bescheinigung, dass ich mich impfen lassen darf?","Zwotkel dóstanu wobkrućenje, zo směm so šćěpić dać?"
"Das bedeute, dass ein Strafverfahren gegen ihn läuft.","To woznamjenja, zo chłostanske jednanje přećiwo njemu běži."
"Das hat vermutlich zwei Gründe, die beide gleichermaßen gewichtig sind.","To ma najskerje dwě přičinje, kotrejž wobě jenak wažitej."
Die Infrastruktur: seit längerer Zeit ein Sanierungsfall.,Infrastruktura: dlěši čas saněrowanski pad.
Seit Jahrzehnten werden uns in Proschim Investitionen verwehrt.,Lětdźesatki nam w Prožymju inwesticije zapowědźeja.
Die Niederlande sind von der Staatsform her eine konstitutionelle Monarchie mit einem König.,Nižozemska je wot statneje formy sem konstitucionelna monarchija z kralom.
Eingreifen des Menschen in die Natur.,Zasahnjenje čłowjeka do přirody.
Dafür wird ein 23 Kilometer langes Rohrsystem gebaut.,K tomu natwari so 23 kilometrow dołhi rołowy system.
Die Osterluzei blühte jedes Jahr zu Ostern und verbreitete Frühlingsstimmung.,Kokornak kćěješe kóžde lěto jutry a rozšěrjowaše nalětnju naladu.
Sie verbessern die Produktivität in ihren Unternehmen und beschleunigen die technologische Entwicklung.,Wone polěpšuja produktiwitu w swojich předewzaćach a pospěšuja technologiske wuwiće.
Es wurde bereits ein Pflegegrad festgestellt.,Hladanski stopjeń bu hižo zwěsćeny.
Können Sie mir für die Anprobe eine Schneiderpuppe hinstellen?,Móžeće mi za přiměrjenje krawcowsku klanku stajić?
Tom benutzt in der Fabrik In-Ear-Kopfhörer statt Gehörschutzstöpsel.,Tom wužiwa w fabrice in-ear-słuchatka město zatyčkow za słuchowy škit.
Stelle die Wechselbeziehungen zwischen den Merkmalen der Landschaftskomponenten dar.,Předstaj mjezsobne poćahi mjez přiznamjenjemi krajinowych komponentow.
"Doch eine Garantie, dass sich der Wuchs zurückbildet und verschwindet, gibt es nicht.","Tola garantije, zo so zróstk wróćo twori a zhubi, njeje."
"Ebenfalls wird die Milch auf Kontaminanten überprüft, wie Schwermetalle.","Tohorunja přepruwuje so mloko na kontaminanty, kaž ćežkometale."
Das Erkunden und Nutzen von weiterführenden Unterstützungssystemen ist wichtig.,Wuslědźenje a wužiwanje dale wjeducych podpěranskich systemow je wažne.
Und dann hat sie mich verraten und ich kam zur Oberhexe.,A potom je mje přeradźiła a přińdźech k wyšej wjerje.
Wo wirkte der Lehrer und Schriftsteller Michał Nawka lange Zeit?,Hdźe skutkowaše dołhi čas wučer a spisowaćel Michał Nawka?
"Maria leidet darunter, dass sie über keinerlei Fremdsprachenkenntnisse verfügt.","Marija ćerpi pod tym, zo žanežkuli znajomosće cuzych rěčow nima."
Was ist Luftverschmutzung?,Što je zanjerodźenje powětra?
Ich träume von einem heißen Bad und einem weichen Bett.,Sonju wo horcym kupanju a mjechkim łožu.
Ein großer und ein etwas kleinerer Elefant stehen im Raum.,Jedyn wulki a jedyn trochu mjeńši elefant stejitej w rumje.
Gute visuelle Fähigkeiten sind dabei notwendig.,Dobre wizuelne kmanosće su při tym trěbne.
Sie hat das Abitur gemacht und im Herbst eine Ausbildung als Physiotherapeutin begonnen.,Je maturowała a w nazymje wukubłanje jako fyzioterapeutka započała.
Häufig lag Baustaub in der Luft.,Husto bě twarski proch w powětře.
Dann ist die absolute Luftfeuchtigkeit mit der maximalen identisch.,Potom je absolutna włóžnosć powětra z maksimalnej identiska.
Man unterscheidet zwischen verschiedenen Formen von Bevölkerungspyramiden.,Rozeznawamy wšelake formy pyramidow ludnosće.
Das haste gut gemacht.,To sy rjenje činił.
Die Mitglieder des Regionalverbandes beteiligen sich ebenfalls an Veranstaltungen des Sorbischen evangelischen Vereins.,Čłonojo župy wobdźěleja so tohorunja na zarjadowanjach Serbskeho ewangelskeho towarstwa.
Die Temperatur wird auch im und am Erdboden gemessen.,Temperatury so tež w zemi a při zemi měrja.
Bis zu zwanzig Jahre wird das Motiv die Menschen erfreuen.,Hač do dwaceći lět budźe motiw ludźi wjeselić.
Wer war Mathematiker und einer der bedeutendsten Informatiker der DDR?,Štó bě matematikar a jedyn z najwuznamnišich informatikarjow NDR?
"Kennst du noch andere Tätigkeiten, bei denen Wasserdampf entsteht?","Znaješ hišće druhe činitosće, pola kotrychž nastawa wódna para?"
"Die Öffentlichkeit war eingeladen, Vorschläge einzureichen.","Zjawnosć bě přeprošena, namjety zapodać."
"Ich werde jetzt meine Arbeit vollenden, damit sie endlich erledigt ist.","Budu nětko moje dźěło zakónčić, zo je skónčnje sčinjene."
Mein Bruder ist in den Teich gefallen.,Mój bratr je do hata padnył.
Man muss sich das vorstellen wie ein komplexes System kommunizierender Röhren.,Dyrbiš sej to předstajić kaž kompleksny system komunikowacych rołow.
Für eine bessere Planung des Treffens haben sie dort einige Fragen zu beantworten.,Za lěpše planowanje zetkanja maja tam někotre prašenja wotmołwić.
Lass es und mach es nicht weiter!,Wostaj to a nječiń to dale!
"Sechs Zeichen, an denen du siehst, ob dein Handy ausspioniert wird.","Šěsć znamjenjow, na kotrychž widźiš, hač so twój handy wuskušuje."
Des Weiteren sollte Sachsen eine Art Controlling einrichten.,Dale měła Sakska něšto podobneho kaž controlling zarjadować.
"Sachsen liegt im Typ des Übergangsklimas, in der gemäßigten Klimazone.","Sakska leži w typje přechodneje klimy,w měrnym klimowym pasmje."
"Ihm war klar, wohin die Karre in Zukunft fährt.","Jemu bě jasne, dokal kara w přichodźe pojědźe."
Unseren Vortrag haben wir in sieben Punkte unterteilt.,Naš přednošk smy do sydom dypkow rozrjadowali.
"Fragt, er wird sich bestimmt über das Angebot freuen!","Prašataj so, wón budźe so zawěsće nad poskitkom wjeselić!"
In uns wuchs Spannung und die Beine begannen uns zu kitzeln.,W nas rosćeše napjatosć a noze nam počeštej łoskotać.
Wir hatten drei Versuche und setzten alle drei in den Sand.,Mějachmy tři pospyty a smy wšě tři skepsali.
Die Aktion erregte europaweit Aufmerksamkeit.,Akcija zbudźi kedźbnosć po cyłej Europje.
"„Denn die bisherigen Quellen aus der DDR waren versiegt“, so Budarjowa.","„Wšako běchu dotalne žórła z NDR wusakli“, tak Budarjowa."
"Ich bin neidisch, dass du so einen guten Chef hast.","Zawidźu ći, zo maš tak dobreho šefa."
Hier ziehen sich die Defekte von der Wurzel bis zu den Zahnkronen.,Tu ćahaja so defekty wot korjenja hač ke krónam zuba.
"Diese wurden genutzt, und sie erzeugten Zufriedenheit.","Tute so wužiwachu, a wone wutworichu spokojnosć."
Was habe ich über Teamarbeit und Zusammenarbeit gelernt?,Što sym wo teamowym dźěle a zhromadnym dźěle nawuknyła?
Der Soziologe Kai Drüge nannte es die „Schnäppchenlogik“.,Sociologa Kai Drüge mjenowaše to „logiku hrabnjenčka“.
Seit 2007 Naturschutz.,Z lěta 2007 přirodoškit.
"Der Bundeskanzler braucht Zeit, er muss durchhalten.","Zwjazkowy kancler trjeba čas, wón dyrbi předźeržeć."
Dieser vertritt die Interessen der Dorfgruppen gegenüber Dritten.,Tutón zastupuje zajimy wjesnych skupin napřećo třećim.
Alle fünf Diakone sind verheiratet und Familienväter.,Wšitcy pjeć diakonow su woženjeni a swójbni nanojo.
Gemeinsames Lernen im Zeitalter der Inklusion wird diskutiert.,Zhromadne wuknjenje w dobje inkluzije so diskutuje.
"Das Kraulen ist eine effiziente Schwimmtechnik, die viel Übung erfordert.","Krawlowanje je eficientna płuwanska technika, kotraž sej wjele zwučowanja žada."
Doch das ficht sie nicht an.,Tola to jich njeznjeměrnja.
Erarbeite mit Hilfe des Textes einen Kurzvortrag über den Jangtsekiang und den „Drei Schluchten“.,Wudźěłaj z pomocu teksta krótkopřednošk wo Jangtsekiangu a „Třoch wudrjeńcach“.
Das Symptom beschreibt brennende oder stechende Schmerzen hinter dem Brustbein.,Symptom wopisuje palace abo kałace bolosće za hrudźowku.
"Ich versuchte, es allen recht zu machen.","Spytach, wšitkim prawje činić."
Als Zwölftklässler haben wir für das leibliche Wohl der Anwesenden gesorgt.,Jako dwanatkarjo smy so wo ćělne derjeměće přitomnych starali.
Wie Naturheilkunde gegen das tödliche Quartett wirkt.,Kak přirodna medicina přećiwo smjertnemu kwartetej skutkuje.
1945 bekam man die Zuständigkeit für die Piskowitzer Post.,1945 dóstachu zamołwitosć za Pěskečansku póštu.
Das Alter hat einen wichtigen Vorzug vor der Jugend: den Schatz an Erfahrungen.,Staroba ma wažnu lěpšinu před młodosću: pokład nazhonjenjow.
"Du darfst es nicht berühren, weil es sehr zerbrechlich ist.","Njesměš to dótknyć, dokelž je jara łamne."
Im Winter fressen sie die Samen von Zapfen und Nüsse.,W zymje žeru symjenja hablow a worjechi.
"Mensch nicht doch, dann stelle dir einfach vor, dass ich nicht schön dufte!","Čłowječe ně pak, potom sej prosće předstaj, zo rjenje njewonjam!"
"Das erste Wort ist ein deutsches Kompositum, die das Transportmittel der Flüchtlinge beschreibt.","Prěnje słowo je němska zestajenka, kiž wopisuje transportny srědk ćěkancow."
Das Buch braucht er derzeit nicht.,Knihu wón tuchwilu njetrjeba.
Es bietet eine Vielfalt an Informationen zu unterschiedlichen Themen und in verschiedenen Bereichen.,Poskićuje mnohotnosć informacijow wo rozdźělnych temach a we wšelakich wobłukach.
Der Indische Ozean zum Zeitpunkt der Katastrophe.,Indiski ocean za čas katastrofy.
Dabei überqueren sie Europa auf unterschiedlichen Bahnen.,Při tym přeprěča wone Europu na wšelakich čarach.
Im Dezember wurde eine Volkszählung in sorbischen Pfarrgemeinden durchgeführt.,W decembrje bu ludowe ličenje w serbskich wosadach přewjedźene.
"Denn Gewalt ist Bruch, Intervention, Bewegung.","Přetož namóc je łamk, interwencija, pohib."
"Die Dorfbewohner sagen, dass die Städte einfach nur dreckig und ziemlich eng sind.","Wjesnjenjo praja, zo su města mazane a chětro wuske."
Mit dem Strukturwandel im Braunkohlerevier wird im Norden Neues entstehen.,Ze strukturnej změnu w brunicowym rewěrje nastanu na sewjeru nowoty.
Wie kann ich meine Android-Kontakte aufs iPhone übertragen?,Kak móžu swoje kontakty wot android na iPhone přenjesć?
Ein neues sorbischsprachiges Lehrbuch ist das erste Werk auf diesem Gebiet.,Nowa serbska wučbnica je prěnička na tutym polu.
Das Internet bietet eine riesige Menge an Informationen an – auch zu geschichtlichen Themen.,Internet poskićuje hoberske mnóstwo informacijow – tež wo stawizniskich temach.
"Somit findet der leckere Stollen, den Ihr mir geschenkt habt, großen Anklang.","Tak namaka słódny wosušk, kotryž sće mi darili, wulki wothłós."
"Und warum wäschst du dir nicht im Bad die Haare, fragte Simon.","A čehodla njemyješ sej w kupjelni włosy, wopraša so Syman."
Vier Fünftel aller Deutschen haben allerdings mit der AfD nichts im Sinn.,Štyri pjećiny wšěch Němcow pak wot AfD ničo wědźeć nochcedźa.
Und wir hatten Erfolg.,A běchmy wuspěšni.
Kindheit und Ausbildung: Richard Wagner wurde 1813 in Oupser geboren.,Dźěćatstwo a wukubłanje: Richard Wagner narodźi so 1813 w Oupseru.
Der letzte Satz: „Jetzt pfiff auch die Lokomotive – ich höre es noch.“,Poslednja sada: „Nětko zahwizda tež lokomotiwa – słyšu to hišće.“
Die Osterweiterung wird diese Diskrepanzen nur noch vergrößern.,Wuchodne rozšěrjenje tute diskrepancy jenož hišće powjetši.
Ein sehr erholsamer und göttlicher Urlaub für uns beide.,Jara wočerstwjacy a bójski dowol za naju.
Von 1945 bis 1948 wurde die Burg als Flüchtlingslager genutzt.,Wot 1945 hač do 1948 wužiwaše so hród jako lěhwo za ćěkancow.
In der Zwischenzeit hat sich der Greis wieder beruhigt.,Mjeztym běše so starc zaso zminył.
Wie erkenne ich einen verspannten Kiefer?,Kak spóznaju skrućene čelesno?
Die US-Regierung gebe die Ukraine der Aggression Russlands preis.,US-knježerstwo přewostaja Ukrainu agresiwiće Ruskeje.
"Die Domowina erstellt eine Übersicht über Unternehmer, die das Sorbische in der Wirtschaft fördern.","Domowina zestaji přehlad wo předewzaćelach, kotřiž spěchuja serbskosć w hospodarstwje."
"Diese gründeten sie erst 1976, erst dann hatten sie genügend Mitglieder.","Tutu załožichu hakle 1976, hakle potom mějachu dosć čłonow."
